Frequency Band,Hz Spread,Low,High,Default Color,Proposed Color
Sub Bass,70,10,80,ff0000,ff0000
Bass,40,80,120,a4312a,a4312a
Bass,40,120,160,dc0a1e,dc0a1e
Bass,20,160,180,2c1577,c98c00
Bass,20,180,200,0000ff,ffb200
Bass - Low Mid,100,200,300,bfbf00,ffd400
Low Mid,20,300,320,ffd700,0EA100
Low Mid,30,320,350,ffff00,0FAF00
Low Mid,40,350,390,5e748c,00C204
Low Mid,100,390,490,00ff00,00ff00
Low Mid - Mid,60,490,550,e09b00,00B6FF
Mid,60,550,610,32cd50,0079FF
Mid,100,610,710,2e8b57,0057B9
Mid,140,710,850,91234e,0033BD
Mid,100,850,950,ff144a,ff144a
Mid,100,950,1050,ff00ff,ff00ff
Mid,450,1050,1500,ffc0cb,cc2ace
Mid - Upper Mid,1500,1500,3000,4682b4,d7e23c
Upper Mid - Presence,2000,3000,5000,ff69b4,c5c200
High,2000,5000,7000,9400d3,a8ab3f
High,3000,7000,10000,f5f2ea,340081
High,2000,10000,12000,f5f3d7,810070
High,3000,12000,15000,e4e4d4,810045
High,7000,15000,22000,ffffff,ffffff
